"","lagoslakeid","secchi","TP","chla","color","TN","nYears_secchi","nYears_TP","nYears_TN","nYears_color","nYears_chla","hu12_zoneid","hu4_zoneid"
"4700",6104,2.7,10,NA,NA,NA,1,6,6,6,6,"HU12_17143","HU4_7"
"4701",6106,3.1,8,NA,NA,250,1,1,1,1,1,"HU12_17130","HU4_8"
"4702",6107,3.65,9.6,NA,NA,NA,7,22,22,22,22,"HU12_16915","HU4_8"
"4703",6108,2.4,12.5,NA,NA,NA,1,6,6,6,6,"HU12_17030","HU4_9"
"4704",6109,4.2,9,NA,NA,220,1,1,1,1,1,"HU12_17010","HU4_9"
"4705",6110,2.2,NA,NA,NA,NA,5,14,14,14,14,"HU12_16700","HU4_9"
"4706",6111,2.9,7,NA,NA,470,1,1,1,1,1,"HU12_17019","HU4_9"
"4707",6112,3.425,10.5,NA,NA,NA,8,20,20,20,20,"HU12_17034","HU4_9"
"4708",6113,1,54,NA,NA,670,1,1,1,1,1,"HU12_16705","HU4_9"
"4709",6114,3.4,42,NA,NA,650,1,1,1,1,1,"HU12_16991","HU4_9"
"4710",6117,1.7,8.5,NA,NA,NA,1,2,2,2,2,"HU12_17045","HU4_9"
"4711",6118,2.2,18,NA,NA,530,1,1,1,1,1,"HU12_16702","HU4_9"
"4712",6119,2.1,27,NA,NA,500,1,1,1,1,1,"HU12_16990","HU4_9"
"4713",6120,2.7,13,NA,NA,NA,1,1,1,1,1,"HU12_17043","HU4_9"
"4714",6121,2.4,13,NA,NA,900,1,1,1,1,1,"HU12_17036","HU4_9"
"4715",6122,1.7,21,NA,NA,NA,1,1,1,1,1,"HU12_16983","HU4_9"
"4716",6123,3.6,10.5,NA,NA,NA,1,2,2,2,2,"HU12_18519","HU4_7"
"4717",6124,2.2,12.5,NA,NA,NA,1,2,2,2,2,"HU12_17021","HU4_9"
"4718",6125,4.7,6,NA,NA,NA,1,2,2,2,2,"HU12_16994","HU4_9"
"4719",6126,3.1,18,NA,NA,470,1,1,1,1,1,"HU12_18515","HU4_6"
"4720",6127,1.6,25,NA,NA,720,1,1,1,1,1,"HU12_17037","HU4_9"
"4721",6128,4,14,NA,NA,300,1,1,1,1,1,"HU12_17160","HU4_7"
"4722",6129,2,38,NA,NA,NA,1,5,5,5,5,"HU12_17000","HU4_9"
"4723",6130,0.8,31,NA,NA,1340,1,1,1,1,1,"HU12_17115","HU4_7"
"4724",6131,8.1,10,NA,NA,1410,1,1,1,1,1,"HU12_17029","HU4_9"
"4725",6132,0.4,77,NA,NA,220,1,1,1,1,1,"HU12_16938","HU4_9"
"4726",6133,3.5,NA,NA,NA,NA,1,17,17,17,17,"HU12_17155","HU4_7"
"4727",6134,4.6,15,NA,NA,350,1,1,1,1,1,"HU12_17115","HU4_7"
"4728",6135,1.8,19,NA,NA,970,1,1,1,1,1,"HU12_17163","HU4_7"
"4729",6136,2.8,11,NA,NA,NA,8,22,22,22,22,"HU12_17145","HU4_7"
"4730",6137,10.8,NA,NA,NA,NA,1,2,2,2,2,"HU12_17129","HU4_8"
"4731",6138,1.3,29.25,NA,NA,NA,1,10,10,10,10,"HU12_17050","HU4_9"
"4732",6139,4.1,13,NA,NA,360,1,1,1,1,1,"HU12_16982","HU4_9"
"4733",6140,1,NA,NA,NA,NA,1,3,3,3,3,"HU12_17160","HU4_7"
"4734",6141,2.6,NA,NA,NA,NA,1,5,5,5,5,"HU12_16704","HU4_9"
"4735",6142,6.5,4.5,NA,NA,NA,1,2,2,2,2,"HU12_17103","HU4_7"
"4736",6143,1.8,9.25,NA,NA,NA,2,10,10,10,10,"HU12_16984","HU4_9"
"4737",6144,3.4,17,NA,NA,NA,1,2,2,2,2,"HU12_17011","HU4_9"
"4738",6145,2.4,14.5,NA,NA,NA,1,8,8,8,8,"HU12_17163","HU4_7"
"4739",6147,6.9,5.55,NA,NA,NA,1,15,15,15,15,"HU12_17077","HU4_8"
"4740",6148,5.1,7.5,NA,NA,NA,1,2,2,2,2,"HU12_17020","HU4_9"
"4741",6149,1.2,18,NA,NA,NA,1,2,2,2,2,"HU12_17002","HU4_9"
"4742",6150,2.1,28,NA,NA,NA,1,1,1,1,1,"HU12_17140","HU4_8"
"4743",6151,5.1,11,NA,NA,220,1,1,1,1,1,"HU12_17160","HU4_7"
"4744",6152,2.5,20,NA,NA,NA,1,2,2,2,2,"HU12_17001","HU4_9"
"4745",6153,1.1,32,NA,NA,360,1,1,1,1,1,"HU12_17004","HU4_9"
"4746",6154,3.4,33,NA,NA,550,1,1,1,1,1,"HU12_16991","HU4_9"
"4747",6156,2.2,16,NA,NA,360,1,1,1,1,1,"HU12_17022","HU4_9"
"4748",6157,1.6,15,NA,NA,390,1,1,1,1,1,"HU12_17037","HU4_9"
"4749",6158,4.3,8,NA,NA,NA,1,3,3,3,3,"HU12_16992","HU4_9"
"4750",6159,0.7,50,NA,NA,1340,1,1,1,1,1,"HU12_16991","HU4_9"
"4751",6160,3.1,14,NA,NA,440,1,1,1,1,1,"HU12_16993","HU4_9"
"4752",6161,2.8,14,NA,NA,500,1,1,1,1,1,"HU12_16987","HU4_9"
"4753",6162,5.725,NA,NA,NA,NA,6,14,14,14,14,"HU12_17137","HU4_8"
"4754",6163,3.8,15,NA,NA,360,1,1,1,1,1,"HU12_16990","HU4_9"
"4755",6164,2,12,NA,NA,NA,1,3,3,3,3,"HU12_17002","HU4_9"
"4756",6165,3.8,NA,NA,NA,NA,1,1,1,1,1,"HU12_17034","HU4_9"
"4757",6166,2.2,18,NA,NA,250,1,1,1,1,1,"HU12_20312","HU4_7"
"4758",6167,8,23,NA,NA,NA,1,1,1,1,1,"HU12_17155","HU4_7"
"4759",6168,3.5,7.5,NA,NA,NA,1,2,2,2,2,"HU12_17039","HU4_9"
"4760",6169,3.875,NA,NA,NA,NA,2,10,10,10,10,"HU12_17161","HU4_7"
"4761",6170,1,25,NA,NA,NA,1,2,2,2,2,"HU12_16709","HU4_9"
"4762",6171,1.5,18,NA,NA,470,1,1,1,1,1,"HU12_17134","HU4_8"
"4763",6172,3,10,NA,NA,NA,9,23,23,23,23,"HU12_17020","HU4_9"
"4764",6173,2,20,NA,NA,NA,1,11,11,11,11,"HU12_17048","HU4_9"
"4765",6174,3.3,40,NA,NA,440,1,1,1,1,1,"HU12_16521","HU4_8"
"4766",6175,6,7,NA,NA,NA,1,3,3,3,3,"HU12_17159","HU4_7"
"4767",6176,1.645,22,NA,NA,510,16,15,15,15,15,"HU12_630","HU4_65"
"4768",6177,1.7,29,NA,NA,730,1,1,1,1,1,"HU12_17052","HU4_9"
"4769",6179,1.035,NA,24.25,NA,835,7,7,7,7,7,"HU12_18797","HU4_64"
"4770",6180,1.397,35,16.15,NA,425,2,2,2,2,2,"HU12_18797","HU4_64"
"4771",6181,1.9304,NA,5,NA,440,23,23,23,23,23,"HU12_18730","HU4_60"
"4772",6182,1.2827,26,6.7,NA,535,3,3,3,3,3,"HU12_2432","HU4_60"
"4773",6183,1.61925,21.25,5.725,NA,442.5,2,2,2,2,2,"HU12_1881","HU4_60"
"4774",6184,1.0668,45.5,NA,NA,790,7,8,8,8,8,"HU12_1884","HU4_60"
"4775",6185,0.9,NA,NA,NA,532.5,13,14,14,14,14,"HU12_4345","HU4_60"
"4776",6186,1.84,NA,9.25,NA,690,3,3,3,3,3,"HU12_4345","HU4_60"
"4777",6187,1.045,40,10.7,NA,655,3,3,3,3,3,"HU12_1950","HU4_63"
"4778",6188,1.2,26.75,11.975,NA,570,9,10,10,10,10,"HU12_1951","HU4_63"
"4779",6189,0.7,45.5,NA,NA,795,10,9,9,9,9,"HU12_2225","HU4_64"
"4780",6190,0.7911,35.25,NA,NA,NA,26,26,26,26,26,"HU12_2200","HU4_62"
"4781",6191,0.825,45.5,17.9,NA,NA,24,24,24,24,24,"HU12_2339","HU4_64"
"4782",6192,0.605,133.25,45.675,NA,1130,18,18,18,18,18,"HU12_18562","HU4_64"
"4783",6193,0.81,NA,28.4,NA,NA,1,1,1,1,1,"HU12_1901","HU4_64"
"4784",6194,1.22,33,20.36,NA,840,7,7,7,7,7,"HU12_1901","HU4_64"
"4785",6195,1.385,27.5,14.1,NA,600,4,6,6,6,6,"HU12_600","HU4_65"
"4786",6196,1.22,38,NA,NA,590,11,11,11,11,11,"HU12_599","HU4_65"
"4787",6197,1.4377,29.5,14.55,NA,487.5,4,4,4,4,4,"HU12_2073","HU4_62"
"4788",6198,0.7112,57,26.9,NA,670,9,11,11,11,11,"HU12_564","HU4_65"
"4789",6199,1.03,35,NA,NA,NA,25,25,25,25,25,"HU12_1980","HU4_63"
"4790",6200,1.93625,13,6.75,NA,317.5,2,2,2,2,2,"HU12_18797","HU4_64"
"4791",6201,1.505,NA,NA,NA,NA,20,20,20,20,20,"HU12_743","HU4_68"
"4792",6202,0.915,45,17.15,NA,NA,22,22,22,22,22,"HU12_1819","HU4_60"
"4793",6203,1.135,32,1.8,NA,820,2,2,2,2,2,"HU12_18797","HU4_64"
"4794",6204,2.41,NA,NA,NA,340,13,13,13,13,13,"HU12_2340","HU4_64"
"4795",6206,0.4963,97,26.75,NA,960,8,8,8,8,8,"HU12_2205","HU4_62"
"4796",6207,0.87,41.5,15.675,NA,705,10,10,10,10,10,"HU12_2412","HU4_65"
"4797",6208,2.4,NA,8.2,NA,NA,25,25,25,25,25,"HU12_509","HU4_65"
"4798",6211,1.665,19,14.35,NA,420,2,2,2,2,2,"HU12_4320","HU4_64"
"4799",6212,2.4003,12.5,8.725,NA,362.5,2,2,2,2,2,"HU12_18797","HU4_64"
"4800",6213,1.61,21.45,NA,NA,517.5,18,18,18,18,18,"HU12_1638","HU4_51"
"4801",6214,0.38,NA,56.7,NA,720,15,15,15,15,15,"HU12_285","HU4_67"
"4802",6216,1.84,98,21.45,NA,710,12,5,5,5,5,"HU12_2413","HU4_65"
"4803",6217,0.99,NA,NA,NA,NA,22,21,21,21,21,"HU12_2319","HU4_64"
"4804",6218,0.695,101,44.65,NA,975,22,22,22,22,22,"HU12_2410","HU4_65"
"4805",6220,0.75,NA,NA,NA,800,19,19,19,19,19,"HU12_2350","HU4_64"
"4806",6221,1.21,NA,NA,NA,NA,21,21,21,21,21,"HU12_2243","HU4_64"
"4807",6223,1.68,NA,NA,NA,780,17,17,17,17,17,"HU12_2295","HU4_64"
"4808",6225,3.125,NA,NA,NA,NA,4,4,4,4,4,"HU12_408","HU4_65"
"4809",6226,2.59,21.45,NA,NA,864,8,16,16,16,16,"HU12_18797","HU4_64"
"4810",6227,1.07,NA,NA,NA,685,19,19,19,19,19,"HU12_293","HU4_67"
"4811",6228,2.77,14.25,2.2,NA,865,4,4,4,4,4,"HU12_18797","HU4_64"
"4812",6229,2.05,NA,NA,NA,NA,2,4,4,4,4,"HU12_17033","HU4_9"
"4813",6230,0.6,10,NA,NA,660,1,1,1,1,1,"HU12_16703","HU4_9"
"4814",6231,4.4,1,NA,NA,200,1,1,1,1,1,"HU12_17079","HU4_8"
"4815",6232,3.5,13.5,NA,NA,NA,1,2,2,2,2,"HU12_16702","HU4_9"
"4816",6233,2.6,NA,NA,NA,NA,1,14,14,14,14,"HU12_17155","HU4_7"
"4817",6234,3.15,9.3,NA,NA,NA,5,19,19,19,19,"HU12_17164","HU4_7"
"4818",6235,2.5,8.5,NA,NA,NA,1,4,4,4,4,"HU12_17160","HU4_7"
"4819",6237,1.5,14,NA,NA,450,1,1,1,1,1,"HU12_17002","HU4_9"
"4820",6238,3,9,NA,NA,NA,1,3,3,3,3,"HU12_20293","HU4_6"
"4821",6240,5.6,7,NA,NA,NA,1,2,2,2,2,"HU12_17121","HU4_7"
"4822",6241,4,14.5,NA,NA,NA,1,2,2,2,2,"HU12_17066","HU4_9"
"4823",6242,1.7,14,NA,NA,390,1,1,1,1,1,"HU12_16713","HU4_7"
"4824",6243,1.8,NA,NA,NA,NA,1,1,1,1,1,"HU12_17064","HU4_9"
"4825",6246,4.4,14,NA,NA,NA,1,2,2,2,2,"HU12_17001","HU4_9"
"4826",6247,4.8,4,NA,NA,NA,1,2,2,2,2,"HU12_17130","HU4_8"
"4827",6248,2.3,14,NA,NA,NA,9,23,23,23,23,"HU12_17052","HU4_9"
"4828",6249,3.4,11,NA,NA,NA,1,2,2,2,2,"HU12_20311","HU4_7"
"4829",6250,3.5,10,NA,NA,NA,1,3,3,3,3,"HU12_18510","HU4_6"
"4830",6251,1.5,19,NA,NA,NA,3,3,3,3,3,"HU12_17026","HU4_9"
"4831",6252,4,12.5,NA,NA,NA,1,2,2,2,2,"HU12_17130","HU4_8"
"4832",6253,3.2,NA,NA,NA,NA,1,1,1,1,1,"HU12_17090","HU4_8"
"4833",6254,4.775,7.85,NA,NA,NA,8,22,22,22,22,"HU12_17140","HU4_8"
"4834",6255,3.3,8,NA,NA,230,1,1,1,1,1,"HU12_20309","HU4_6"
"4835",6258,3.3,NA,NA,NA,NA,1,13,13,13,13,"HU12_17004","HU4_9"
"4836",6259,3.1,9.5,NA,NA,NA,1,2,2,2,2,"HU12_16992","HU4_9"
"4837",6260,3.4,NA,NA,NA,NA,5,19,19,19,19,"HU12_16709","HU4_9"
"4838",6261,1.8,13.5,NA,NA,NA,1,2,2,2,2,"HU12_18522","HU4_7"
"4839",6263,2,28,NA,NA,NA,1,1,1,1,1,"HU12_17061","HU4_9"
"4840",6264,1.5,14.5,NA,NA,NA,1,2,2,2,2,"HU12_16702","HU4_9"
"4841",6265,5.4,5.2,NA,NA,NA,2,3,3,3,3,"HU12_18516","HU4_7"
"4842",6266,1,33,NA,NA,NA,1,2,2,2,2,"HU12_17061","HU4_9"
"4843",6267,4.1,12.5,NA,NA,NA,6,18,18,18,18,"HU12_17067","HU4_9"
"4844",6268,3.5,16,NA,NA,360,1,1,1,1,1,"HU12_17093","HU4_7"
"4845",6269,1,24,NA,NA,710,1,1,1,1,1,"HU12_17105","HU4_7"
"4846",6270,3.3,NA,NA,NA,NA,1,3,3,3,3,"HU12_17062","HU4_9"
"4847",6271,1.8,38,NA,NA,600,1,1,1,1,1,"HU12_18520","HU4_7"
"4848",6272,2.5,12,NA,NA,450,1,1,1,1,1,"HU12_16914","HU4_8"
"4849",6273,2.89,11,NA,NA,NA,2,3,3,3,3,"HU12_17031","HU4_9"
"4850",6274,1.5,43,NA,NA,830,1,1,1,1,1,"HU12_17044","HU4_9"
"4851",6275,5.2,4,NA,NA,NA,2,3,3,3,3,"HU12_17093","HU4_7"
"4852",6276,1.2,17,NA,NA,480,1,1,1,1,1,"HU12_16916","HU4_8"
"4853",6277,4,5.9,NA,NA,NA,1,3,3,3,3,"HU12_18517","HU4_7"
"4854",6278,1.6,22.5,NA,NA,NA,1,2,2,2,2,"HU12_16709","HU4_9"
"4855",6279,1.05,25,NA,NA,NA,2,11,11,11,11,"HU12_16922","HU4_8"
"4856",6280,3.2,NA,NA,NA,NA,2,13,13,13,13,"HU12_17165","HU4_7"
"4857",6281,1.6,21,NA,NA,NA,1,2,2,2,2,"HU12_17142","HU4_8"
"4858",6282,4.5,9,NA,NA,170,1,1,1,1,1,"HU12_17148","HU4_7"
"4859",6283,1.5,28,NA,NA,740,1,1,1,1,1,"HU12_17016","HU4_9"
"4860",6284,2.8,NA,NA,NA,NA,7,22,22,22,22,"HU12_17019","HU4_9"
"4861",6285,2.15,17.5,NA,NA,NA,2,6,6,6,6,"HU12_16922","HU4_8"
"4862",6286,10.1,4.5,NA,NA,NA,1,2,2,2,2,"HU12_16981","HU4_9"
"4863",6287,4.2,8.6,NA,NA,NA,7,19,19,19,19,"HU12_16950","HU4_9"
"4864",6288,4.8,12.5,NA,NA,NA,1,2,2,2,2,"HU12_17089","HU4_8"
"4865",6289,0.3,15,NA,NA,NA,1,3,3,3,3,"HU12_17016","HU4_9"
"4866",6290,2.9,20,NA,NA,670,1,1,1,1,1,"HU12_16999","HU4_9"
"4867",6291,3.2,7,NA,NA,420,1,1,1,1,1,"HU12_17170","HU4_7"
"4868",6292,1.75,NA,NA,NA,NA,2,3,3,3,3,"HU12_17045","HU4_9"
"4869",6293,4.4,7,NA,NA,NA,7,20,20,20,20,"HU12_17121","HU4_7"
"4870",6294,1.6,23,NA,NA,810,1,1,1,1,1,"HU12_17165","HU4_7"
"4871",6295,2.9,5,NA,NA,NA,1,2,2,2,2,"HU12_16987","HU4_9"
"4872",6297,2.5,7,NA,NA,510,1,1,1,1,1,"HU12_17034","HU4_9"
"4873",6298,0.865,37,34.4,NA,710,9,9,9,9,9,"HU12_2225","HU4_64"
"4874",6299,1.435,NA,NA,NA,NA,23,23,23,23,23,"HU12_1537","HU4_67"
"4875",6300,1.7018,NA,NA,NA,NA,19,19,19,19,19,"HU12_2013","HU4_62"
"4876",6301,2.055,NA,NA,NA,NA,26,26,26,26,26,"HU12_148","HU4_67"
"4877",6302,1.8288,13.5,NA,NA,NA,19,19,19,19,19,"HU12_159","HU4_67"
"4878",6303,0.7,NA,NA,NA,570,23,23,23,23,23,"HU12_1494","HU4_66"
"4879",6304,1.1,35,16.925,NA,577.5,4,4,4,4,4,"HU12_2225","HU4_64"
"4880",6305,1.7,23,NA,NA,680,1,1,1,1,1,"HU12_17010","HU4_9"
"4881",6306,3.5,19,NA,NA,1250,1,1,1,1,1,"HU12_17021","HU4_9"
"4882",6307,3.35,11.5,NA,NA,NA,2,10,10,10,10,"HU12_16712","HU4_7"
"4883",6308,4.4,11,NA,NA,290,1,1,1,1,1,"HU12_16997","HU4_9"
"4884",6309,4.825,8,NA,NA,NA,4,5,5,5,5,"HU12_17036","HU4_9"
"4885",6310,4.3434,6,1.6,NA,305,3,3,3,3,3,"HU12_18730","HU4_60"
"4886",6311,1.7,21,NA,NA,NA,1,1,1,1,1,"HU12_16705","HU4_9"
"4887",6312,3,15,NA,NA,NA,1,2,2,2,2,"HU12_16994","HU4_9"
"4888",6313,3.5,13.5,NA,NA,NA,1,2,2,2,2,"HU12_16946","HU4_9"
"4889",6314,6.7,NA,NA,NA,NA,1,10,10,10,10,"HU12_16702","HU4_9"
"4890",6315,2.5,16,NA,NA,NA,1,11,11,11,11,"HU12_17051","HU4_9"
"4891",6316,3.55,10,NA,NA,NA,4,5,5,5,5,"HU12_17023","HU4_9"
"4892",6317,2,13,NA,NA,NA,7,13,13,13,13,"HU12_16984","HU4_9"
"4893",6318,2.5,5.5,NA,NA,NA,1,2,2,2,2,"HU12_17105","HU4_7"
"4894",6319,1.1,31,NA,NA,1120,1,1,1,1,1,"HU12_17113","HU4_7"
"4895",6320,5.9,10,NA,NA,420,1,1,1,1,1,"HU12_17077","HU4_8"
"4896",6321,3,22,NA,NA,NA,1,2,2,2,2,"HU12_17034","HU4_9"
"4897",6322,8.5,5,NA,NA,NA,8,17,17,17,17,"HU12_17155","HU4_7"
"4898",6323,2.7,10.5,NA,NA,NA,3,4,4,4,4,"HU12_18523","HU4_7"
"4899",6324,2.6,11.5,NA,NA,NA,1,8,8,8,8,"HU12_16984","HU4_9"
"4900",6325,2,21.5,NA,NA,NA,1,2,2,2,2,"HU12_17043","HU4_9"
"4901",6326,2.8,16,NA,NA,190,1,1,1,1,1,"HU12_17002","HU4_9"
"4902",6327,6.25,4,NA,NA,NA,2,2,2,2,2,"HU12_17726","HU4_7"
"4903",6328,2.5,9,NA,NA,400,1,1,1,1,1,"HU12_17046","HU4_9"
"4904",6329,3.5,11,NA,NA,NA,1,11,11,11,11,"HU12_16916","HU4_8"
"4905",6330,2.4,16.5,NA,NA,NA,1,4,4,4,4,"HU12_16709","HU4_9"
"4906",6331,2.3,8,NA,NA,NA,1,2,2,2,2,"HU12_17091","HU4_7"
"4907",6332,3.95,10.25,NA,NA,NA,10,24,24,24,24,"HU12_17020","HU4_9"
"4908",6333,2,20,NA,NA,650,1,1,1,1,1,"HU12_17119","HU4_7"
"4909",6334,4.7244,8,NA,NA,NA,11,10,10,10,10,"HU12_12972","HU4_32"
"4910",6338,1.2192,NA,NA,NA,NA,5,6,6,6,6,"HU12_12507","HU4_39"
"4911",6339,2.4384,NA,NA,NA,NA,14,11,11,11,11,"HU12_12508","HU4_39"
"4912",6340,2.1336,NA,NA,NA,NA,28,10,10,10,10,"HU12_12519","HU4_39"
"4913",6343,3.2004,14.84,5.1,NA,481,3,3,3,3,3,"HU12_12687","HU4_30"
"4914",6345,0.6096,18.1,NA,48,NA,1,1,1,1,1,"HU12_6688","HU4_41"
"4915",6347,3.0861,NA,2.75,NA,NA,14,13,13,13,13,"HU12_13840","HU4_31"
"4916",6348,2.4384,52.7,NA,28,NA,9,1,1,1,1,"HU12_19222","HU4_37"
"4917",6354,3.5814,NA,10,NA,NA,3,3,3,3,3,"HU12_13745","HU4_31"
"4918",6355,4.75,5.59184662,1.993328,NA,499.3259742,1,1,1,1,1,"HU12_13669","HU4_31"
"4919",6356,3.1216,6.063728127,0.848065,NA,531.3236022,2,1,1,1,1,"HU12_13713","HU4_31"
"4920",6357,3.8,10.09118568,0.37525,NA,209.5609131,1,1,1,1,1,"HU12_13715","HU4_31"
"4921",6358,6.7,7.315833461,0.516344,NA,198.7758469,1,1,1,1,1,"HU12_13715","HU4_31"
"4922",6359,3.35,20.52231407,1.248832,NA,313.2117401,1,1,1,1,1,"HU12_13685","HU4_31"
"4923",6360,1.25,33.96295414,1.765176,NA,1509.34684,1,1,1,1,1,"HU12_12696","HU4_30"
"4924",6361,3.4,14.43369261,5.46364,NA,739.7567736,1,1,1,1,1,"HU12_12685","HU4_30"
"4925",6362,3.55,20.42162754,1.645096,NA,589.6375987,1,1,1,1,1,"HU12_12659","HU4_30"
"4926",6363,3.4,9.466932897,2.665776,NA,424.9715549,1,1,1,1,1,"HU12_12659","HU4_30"
"4927",6364,4.45,5.69118796,1.272848,NA,508.5436347,1,1,1,1,1,"HU12_20075","HU4_31"
"4928",6366,3.8,7.876156936,2.749832,NA,766.8055328,1,1,1,1,1,"HU12_13767","HU4_31"
"4929",6367,5.05,6.142656183,2.329552,NA,212.8258904,1,1,1,1,1,"HU12_13759","HU4_31"
"4930",6368,4,11.30813823,2.05637,NA,389.6706098,1,1,1,1,1,"HU12_19903","HU4_30"
"4931",6369,3.1264,14.03096011,3.78252,NA,546.5259413,2,1,1,1,1,"HU12_19903","HU4_30"
"4932",6371,2.8956,8.86568639375,NA,NA,NA,30,4,4,4,4,"HU12_12699","HU4_30"
"4933",6372,4.8,6.434640621,1.609072,NA,363.4249157,1,1,1,1,1,"HU12_12699","HU4_30"
"4934",6373,4.7244,11,NA,NA,NA,3,3,3,3,3,"HU12_13723","HU4_31"
"4935",6374,2.85,13.31893688,3.24216,NA,638.8725657,1,1,1,1,1,"HU12_12672","HU4_30"
"4936",6375,2.25,22.39449754,9.12608,NA,725.5567635,1,1,1,1,1,"HU12_12678","HU4_30"
"4937",6376,3,15.25292732,2.665776,NA,821.9833275,1,1,1,1,1,"HU12_13743","HU4_31"
"4938",6377,2.2,13.47862416,2.52168,NA,795.8422097,1,1,1,1,1,"HU12_13743","HU4_31"
"4939",6378,4.572,5.135824938,2.58172,NA,517.681058,3,1,1,1,1,"HU12_13717","HU4_31"
"4940",6379,4.7,2.584402765,0.684456,NA,102.203372,1,1,1,1,1,"HU12_13669","HU4_31"
"4941",6383,4.572,NA,1.45,NA,NA,17,11,11,11,11,"HU12_13626","HU4_30"
"4942",6387,3.75,13.90445692,2.82188,NA,1273.883219,1,1,1,1,1,"HU12_13745","HU4_31"
"4943",6388,3.51,7.2,NA,NA,850,29,1,1,1,1,"HU12_13840","HU4_31"
"4944",6392,0.4064,240,NA,NA,NA,2,3,3,3,3,"HU12_5640","HU4_36"
"4945",6393,0.8763,293.5,NA,NA,NA,2,2,2,2,2,"HU12_5484","HU4_36"
"4946",6394,0.8509,322,NA,NA,NA,3,3,3,3,3,"HU12_1012","HU4_51"
"4947",6395,1.0033,31.5,25.95,NA,NA,1,1,1,1,1,"HU12_1320","HU4_51"
"4948",6396,1.43,28.75,6.54,69.25,555,4,4,4,4,4,"HU12_17263","HU4_12"
"4949",6397,2.9,NA,5.45,NA,NA,11,11,11,11,11,"HU12_16888","HU4_12"
"4950",6399,2.65,NA,NA,NA,NA,23,23,23,23,23,"HU12_15183","HU4_17"
"4951",6400,3,21,5.43,24,330,3,3,3,3,3,"HU12_17310","HU4_13"
"4952",6401,4.22,16,NA,NA,260,2,3,3,3,3,"HU12_8566","HU4_16"
"4953",6402,2.0574,13,NA,NA,NA,1,1,1,1,1,"HU12_5664","HU4_36"
"4954",6403,0.6096,327,16.7,NA,NA,1,1,1,1,1,"HU12_5638","HU4_36"
"4955",6404,1.2,NA,27.53,NA,NA,23,23,23,23,23,"HU12_16125","HU4_5"
"4956",6405,1.575,NA,NA,NA,NA,16,14,14,14,14,"HU12_16964","HU4_13"
"4957",6406,5.975,NA,2.17,NA,NA,5,5,5,5,5,"HU12_16811","HU4_5"
"4958",6407,1.975,NA,NA,NA,NA,21,21,21,21,21,"HU12_17407","HU4_12"
"4959",6408,1.5,NA,NA,NA,NA,23,23,23,23,23,"HU12_14947","HU4_22"
"4960",6409,4.115,NA,2.9825,NA,NA,9,8,8,8,8,"HU12_20211","HU4_12"
"4961",6410,4.5,NA,NA,NA,NA,17,14,14,14,14,"HU12_15546","HU4_23"
"4962",6411,4.35,NA,NA,NA,NA,13,14,14,14,14,"HU12_15959","HU4_5"
"4963",6412,3.43,9,NA,NA,NA,21,21,21,21,21,"HU12_15296","HU4_18"
"4964",6413,4.755,NA,NA,NA,NA,23,23,23,23,23,"HU12_16813","HU4_5"
"4965",6414,0.3175,322,NA,NA,NA,1,1,1,1,1,"HU12_1304","HU4_51"
"4966",6415,5.35,NA,NA,NA,NA,5,6,6,6,6,"HU12_16812","HU4_5"
"4967",6416,0.3175,160.5,NA,NA,3190,1,1,1,1,1,"HU12_5664","HU4_36"
"4968",6417,5.5,7,3.6,NA,140,1,1,1,1,1,"HU12_15718","HU4_18"
"4969",6418,1.165,21.5,3.95,NA,NA,3,3,3,3,3,"HU12_16971","HU4_13"
"4970",6419,3,NA,NA,NA,NA,19,18,18,18,18,"HU12_15111","HU4_22"
"4971",6420,8,NA,NA,NA,NA,9,9,9,9,9,"HU12_16839","HU4_5"
"4972",6421,4.4,NA,NA,NA,NA,5,6,6,6,6,"HU12_16354","HU4_11"
"4973",6422,0.90465,118,NA,NA,NA,2,2,2,2,2,"HU12_5967","HU4_57"
"4974",6423,1.475,NA,NA,36,NA,13,13,13,13,13,"HU12_17313","HU4_13"
"4975",6424,5.75,NA,NA,NA,NA,15,16,16,16,16,"HU12_15298","HU4_18"
"4976",6425,3.75,8,NA,32,NA,10,11,11,11,11,"HU12_16009","HU4_5"
"4977",6426,2.525,NA,7.425,12.5,NA,13,13,13,13,13,"HU12_16827","HU4_5"
"4978",6427,0.95,NA,NA,35,NA,7,7,7,7,7,"HU12_15424","HU4_18"
"4979",6428,4.4,NA,NA,NA,NA,13,13,13,13,13,"HU12_15061","HU4_16"
"4980",6429,2.5875,NA,NA,NA,NA,6,6,6,6,6,"HU12_17473","HU4_16"
"4981",6430,1.5,40,10,NA,480,1,1,1,1,1,"HU12_15864","HU4_16"
"4982",6431,0.127,438,NA,NA,5460,1,1,1,1,1,"HU12_5560","HU4_50"
"4983",6432,2.695,NA,NA,NA,NA,12,15,15,15,15,"HU12_16025","HU4_5"
"4984",6433,1.55,NA,NA,NA,NA,14,14,14,14,14,"HU12_17415","HU4_12"
"4985",6434,3.2625,NA,NA,NA,NA,14,15,15,15,15,"HU12_16127","HU4_5"
"4986",6436,3.505,NA,NA,NA,NA,19,19,19,19,19,"HU12_17416","HU4_12"
"4987",6438,0.7,38,NA,NA,1270,1,1,1,1,1,"HU12_15770","HU4_18"
"4988",6439,4.5,NA,NA,NA,NA,9,9,9,9,9,"HU12_16846","HU4_5"
